,_id,temperature,humidity,CO,CO2,NO2,O3,SO2,er_init_sensor,er_read_sensor,er_out_of_range,er_system,type,device_id,sampling_interval,PM2_5,PM10_0,time
10,61859c2a20be12f18c9aa73a,25.66,89.07,0.168,448.0,0.0,0.004,0.002,0,0,0,0,envitus,70B3D509805D,60,42.0,52.0,2021-11-05 21:03:35
11,615e0f2e54811a28700b1ac2,29.18,78.41,0.659,496.0,0.0,0.005,0.003,0,0,0,0,envitus,70B3D509805D,60,106.0,113.0,2021-10-06 21:03:40
12,6154d4b554811a2870f5e34c,29.07,80.72,0.177,478.0,0.0,0.004,0.0,0,0,0,0,envitus,70B3D509805D,60,45.0,56.0,2021-09-29 21:03:45
13,614e3d477c67d515a00f6285,25.1,85.95,0.018,455.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,4.0,4.0,2021-09-24 21:04:04
14,616f32a4e66c30339e591485,24.78,86.53,0.357,498.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,73.0,80.0,2021-10-19 21:03:29
15,61689b2f54811a2870254c59,21.82,92.32,0.076,472.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,7.0,7.0,2021-10-14 21:03:40
16,6165f83954811a28701cf2c2,24.6,72.07,0.17,471.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,27.0,30.0,2021-10-12 21:03:50
17,615142ede6ffd771d14c986b,33.26,62.84,0.135,447.0,0.0,0.001,0.001,0,0,0,3072,envitus,70B3D509805D,60,29.0,32.0,2021-09-27 04:04:54
18,616749b254811a2870212236,23.22,87.79,0.036,464.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,10.0,11.0,2021-10-13 21:03:43
19,6159626854811a2870059c1b,36.74,50.97,0.032,411.0,0.0,0.0,0.0,0,0,0,3072,envitus,70B3D509805D,60,46.0,56.0,2021-10-03 07:57:25
20,615f60cc54811a28700e6ff1,29.44,76.54,0.347,470.0,0.0,0.004,0.005,0,0,0,0,envitus,70B3D509805D,60,96.0,100.0,2021-10-07 21:04:09
21,616c8f9e9d4daad11f45c4c9,20.08,81.38,0.1,478.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,13.0,13.0,2021-10-17 21:03:22
22,6173272ae66c30339e65cd53,20.52,64.15,0.092,459.0,0.0,0.002,0.0,0,0,0,0,envitus,70B3D509805D,60,20.0,20.0,2021-10-22 21:03:34
23,617478d1e66c30339e6bc447,21.68,67.77,0.14,464.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,65.0,75.0,2021-10-23 21:04:13
24,61844aac20be12f18c965694,25.38,88.16,0.2,479.0,0.0,0.005,0.001,0,0,0,0,envitus,70B3D509805D,60,53.0,66.0,2021-11-04 21:03:37
25,614aec30c8dd837bbb35d161,33.47,61.81,0.134,424.0,0.0,0.002,0.0,0,0,0,0,envitus,70B3D509805D,60,27.0,28.0,2021-09-22 08:28:10
26,615b6c2a54811a287007f116,27.71,83.38,0.122,480.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,50.0,62.0,2021-10-04 21:03:35
27,615777d854811a287002feeb,29.23,80.08,0.142,452.0,0.0,0.003,0.003,0,0,0,0,envitus,70B3D509805D,60,38.0,45.0,2021-10-01 21:04:21
28,6163555354811a2870145c54,25.0,90.34,0.163,481.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,20.0,21.0,2021-10-10 21:04:15
29,616acbe9074ea276ed70ceed,20.87,86.33,0.287,485.0,0.0,0.003,0.0,0,0,0,3072,envitus,70B3D509805D,60,4.0,4.0,2021-10-16 12:44:57
30,615cbda954811a28700936b3,28.86,77.42,0.108,457.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,33.0,39.0,2021-10-05 21:03:33
31,616203b354811a2870112dcb,24.12,91.35,0.039,451.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,21.0,22.0,2021-10-09 21:03:44
32,61614a7054811a28700fac9b,26.39,83.63,0.319,437.0,0.0,0.004,0.001,0,0,0,3072,envitus,70B3D509805D,60,40.0,48.0,2021-10-09 07:53:06
33,616de15ae66c30339e5555af,21.26,90.12,0.233,493.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,33.0,37.0,2021-10-18 21:04:23
34,6153832154811a2870eefcd9,28.65,82.24,0.202,473.0,0.0,0.004,0.001,0,0,0,0,envitus,70B3D509805D,60,51.0,64.0,2021-09-28 21:03:26
35,6170845be66c30339e5cc729,26.62,88.73,0.954,472.0,0.162,0.042,0.004,0,0,0,0,envitus,70B3D509805D,60,52.0,68.0,2021-10-20 21:04:24
36,6181a7cc20be12f18c92871c,22.37,87.79,0.332,511.0,0.0,0.002,0.002,0,0,0,0,envitus,70B3D509805D,60,28.0,32.0,2021-11-02 21:04:09
37,617db35020be12f18c877b78,21.12,88.43,0.315,484.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,32.0,38.0,2021-10-30 21:04:13
38,6182f93620be12f18c940779,24.95,85.54,0.28,487.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,44.0,56.0,2021-11-03 21:03:46
39,615a1aa254811a287006b470,29.07,78.55,0.243,465.0,0.0,0.004,0.002,0,0,0,0,envitus,70B3D509805D,60,50.0,62.0,2021-10-03 21:03:27
40,616badba074ea276ed71fcdd,23.06,64.27,0.319,479.0,0.0,0.002,0.0,0,0,0,3072,envitus,70B3D509805D,60,4.0,5.0,2021-10-17 04:04:31
41,61a836028118b006b4f01184,20.53,41.97,0.363,453.0,0.0,0.0,0.0,0,0,0,3072,envitus,70B3D509805D,60,51.0,65.0,2021-12-02 02:56:40
42,614f8eb17c67d515a012bedb,26.34,89.1,0.08,469.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,45.0,56.0,2021-09-25 21:03:42
43,6186eda620be12f18c9f4a66,26.49,87.38,0.097,436.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,32.0,35.0,2021-11-06 21:03:31
